題目,選項A,選項B,選項C,選項D,正確答案
p5.js的setup()函式執行多少次?,一次,每一幀,每次滑鼠點擊,每次按鍵,A
在p5.js中,width和height代表什麼?,顏色值,畫布的寬度和高度,字體大小,線條粗細,B
rect()函式的前兩個參數代表什麼?,寬度和高度,颜色和透明度,x和y座標,半徑,C
noStroke()的作用是什麼?,移除邊框,移除填充,改變顏色,放大圖形,A
fill()函式用於設定什麼?,線條顏色,圖形的填充顏色,背景顏色,字體顏色,B
circle()函式需要哪些參數?,顏色、透明度,x、y、半徑,寬、高、深度,起始角、終止角,B
background()用來設定什麼?,圖形邊框,畫布背景色,字體顏色,線條粗細,B
map()函式的作用是什麼?,繪製地圖,將一個範圍的值對應到另一個範圍,播放動畫,清除畫布,B
random()函式產生什麼類型的數值?,整數,浮點數,字符串,布林值,B
createCanvas()的參數是什麼?,顏色和透明度,寬度和高度,位置座標,邊框粗細,B
sin()和cos()函式用於計算什麼?,平方根,三角函數值,對數,指數,B
frameCount變數記錄什麼?,總共的圓數,滑鼠位置,程式執行的幀數,按鍵次數,C
stroke()函式用於設定什麼?,填充顏色,線條顏色,背景顏色,字體顏色,B
translate()函式的作用是什麼?,旋轉座標系,移動座標系原點,縮放座標系,改變顏色,B
dist()函式計算什麼?,直線長度,兩點之間的距離,三角形面積,圓的周長,B
mouseX和mouseY記錄什麼?,視窗大小,滑鼠位置座標,按鍵狀態,幀速率,B
push()和pop()用於什麼?,開始和結束遊戲,儲存和恢復繪圖狀態,播放聲音,停止程式,B
color()函式的作用是什麼?,繪製形狀,建立顏色物件,移動物體,檢查碰撞,B
rotate()函式用於?,改變顏色,旋轉座標系,改變大小,移動位置,B
text()函式用於?,繪製圖形,顯示文字,播放動畫,計算數值,B
